contractId,stockSymbol,securityName,contractQuantity,contractRate,contractAmount,tradeTime,businessDate,capturedAt
2026061603005515,CORBL,Corporate Development Bank Limited,57,1750.0,99750.0,2026-06-16T14:52:53.828706,2026-06-16,2026-06-16T19:09:30.967801
2026061603005516,SJLIC,SuryaJyoti Life Insurance Company Limited,10,429.0,4290.0,2026-06-16T14:52:57.721662,2026-06-16,2026-06-16T19:09:30.967785
2026061603005517,SJLIC,SuryaJyoti Life Insurance Company Limited,15,429.0,6435.0,2026-06-16T14:52:57.7218,2026-06-16,2026-06-16T19:09:30.967784
2026061603005518,SJLIC,SuryaJyoti Life Insurance Company Limited,10,429.0,4290.0,2026-06-16T14:52:57.721862,2026-06-16,2026-06-16T19:09:30.967783
2026061603005519,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,11,917.5,10092.5,2026-06-16T14:52:58.110883,2026-06-16,2026-06-16T19:09:30.967779
2026061603005520,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,24,1770.0,42480.0,2026-06-16T14:52:58.963006,2026-06-16,2026-06-16T19:09:30.967776
2026061603005521,HLI,Himalayan Life Insurance Limited,176,335.9,59118.4,2026-06-16T14:53:03.814831,2026-06-16,2026-06-16T19:09:38.211503
2026061603005522,HLI,Himalayan Life Insurance Limited,24,335.9,8061.6,2026-06-16T14:53:03.814954,2026-06-16,2026-06-16T19:09:38.211502
2026061603005523,MPFL,Multipurpose Finance Company  Limited,10,618.0,6180.0,2026-06-16T14:53:04.376137,2026-06-16,2026-06-16T19:09:38.211498
2026061603005524,SIFC,Shree Investment Finance Co. Ltd.,30,547.6,16428.0,2026-06-16T14:53:13.21398,2026-06-16,2026-06-16T19:09:36.234719
2026061603005525,CFCL,Central Finance Co. Ltd.,860,610.7,525202.0,2026-06-16T14:53:13.361075,2026-06-16,2026-06-16T19:09:36.234717
2026061603005526,CFCL,Central Finance Co. Ltd.,500,610.6,305300.0,2026-06-16T14:53:13.361302,2026-06-16,2026-06-16T19:09:36.234716
2026061603005527,CFCL,Central Finance Co. Ltd.,140,610.5,85470.0,2026-06-16T14:53:13.361392,2026-06-16,2026-06-16T19:09:36.234715
2026061603005528,CFCL,Central Finance Co. Ltd.,200,610.5,122100.0,2026-06-16T14:53:13.767654,2026-06-16,2026-06-16T19:09:36.234714
2026061603005529,MPFL,Multipurpose Finance Company  Limited,100,615.0,61500.0,2026-06-16T14:53:14.26122,2026-06-16,2026-06-16T19:09:36.234710
2026061603005530,MERO,Mero Microfinance Bittiya Sanstha Ltd.,100,716.0,71600.0,2026-06-16T14:53:16.796476,2026-06-16,2026-06-16T19:09:36.234692
2026061603005531,LICN,Life Insurance Corporation (Nepal) Limited,10,808.0,8080.0,2026-06-16T14:53:20.190102,2026-06-16,2026-06-16T19:09:35.295732
2026061603005532,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,10,914.3,9143.0,2026-06-16T14:53:20.233667,2026-06-16,2026-06-16T19:09:35.295731
2026061603005533,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,20,914.2,18284.0,2026-06-16T14:53:20.233841,2026-06-16,2026-06-16T19:09:35.295730
2026061603005534,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,47,914.2,42967.4,2026-06-16T14:53:20.233917,2026-06-16,2026-06-16T19:09:35.295729
2026061603005535,MNBBL,Muktinath Bikas Bank Ltd.,30,370.6,11118.0,2026-06-16T14:53:21.276179,2026-06-16,2026-06-16T19:09:35.295724
2026061603005536,MNBBL,Muktinath Bikas Bank Ltd.,20,370.5,7410.0,2026-06-16T14:53:21.276432,2026-06-16,2026-06-16T19:09:35.295723
2026061603005537,MNBBL,Muktinath Bikas Bank Ltd.,63,370.5,23341.5,2026-06-16T14:53:21.276505,2026-06-16,2026-06-16T19:09:35.295722
2026061603005538,MFIL,Manjushree Finance Ltd.,150,768.0,115200.0,2026-06-16T14:53:22.742376,2026-06-16,2026-06-16T19:09:35.295712
2026061603005539,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,40,723.2,28928.0,2026-06-16T14:53:24.802356,2026-06-16,2026-06-16T19:09:35.295702
2026061603005540,NLIC,Nepal Life Insurance Co. Ltd.,10,759.0,7590.0,2026-06-16T14:53:28.555695,2026-06-16,2026-06-16T19:09:34.357959
2026061603005541,SADBL,Shangrila Development Bank Ltd.,133,409.0,54397.0,2026-06-16T14:53:28.635717,2026-06-16,2026-06-16T19:09:34.357958
2026061603005542,SADBL,Shangrila Development Bank Ltd.,393,409.0,160737.0,2026-06-16T14:53:28.636073,2026-06-16,2026-06-16T19:09:34.357957
2026061603005543,CORBL,Corporate Development Bank Limited,43,1752.0,75336.0,2026-06-16T14:53:30.425404,2026-06-16,2026-06-16T19:09:34.357947
2026061603005544,CORBL,Corporate Development Bank Limited,16,1752.0,28032.0,2026-06-16T14:53:30.425622,2026-06-16,2026-06-16T19:09:34.357946
2026061603005545,CORBL,Corporate Development Bank Limited,20,1752.0,35040.0,2026-06-16T14:53:30.425723,2026-06-16,2026-06-16T19:09:34.357945
2026061603005546,CFCL,Central Finance Co. Ltd.,160,610.5,97680.0,2026-06-16T14:53:30.778952,2026-06-16,2026-06-16T19:09:34.357942
2026061603005547,CFCL,Central Finance Co. Ltd.,50,610.5,30525.0,2026-06-16T14:53:30.779355,2026-06-16,2026-06-16T19:09:34.357941
2026061603005548,CFCL,Central Finance Co. Ltd.,290,610.2,176958.0,2026-06-16T14:53:30.77962,2026-06-16,2026-06-16T19:09:34.357940
2026061603005549,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,22,1108.1,24378.2,2026-06-16T14:53:31.581792,2026-06-16,2026-06-16T19:09:34.357933
2026061603005550,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,10,1108.1,11081.0,2026-06-16T14:53:31.581968,2026-06-16,2026-06-16T19:09:34.357932
2026061603005551,GUFL,Gurkhas Finance Ltd.,200,555.0,111000.0,2026-06-16T14:53:33.011932,2026-06-16,2026-06-16T19:09:34.357927
2026061604007459,GLH,GreenLife Hydropower Limited,20,263.1,5262.0,2026-06-16T14:51:58.782072,2026-06-16,2026-06-16T19:09:39.132622
2026061604007460,LEC,Liberty Energy Company Limited,10,219.3,2193.0,2026-06-16T14:51:59.266218,2026-06-16,2026-06-16T19:09:39.132614
2026061604007461,NHPC,National Hydro Power Company Limited,195,279.0,54405.0,2026-06-16T14:52:00.474548,2026-06-16,2026-06-16T19:09:39.132578
2026061604007462,NHPC,National Hydro Power Company Limited,100,279.0,27900.0,2026-06-16T14:52:00.475325,2026-06-16,2026-06-16T19:09:39.132577
2026061604007463,NHPC,National Hydro Power Company Limited,10,279.0,2790.0,2026-06-16T14:52:00.475889,2026-06-16,2026-06-16T19:09:39.132576
2026061604007464,NHPC,National Hydro Power Company Limited,100,279.0,27900.0,2026-06-16T14:52:00.476474,2026-06-16,2026-06-16T19:09:39.132574
2026061604007465,NHPC,National Hydro Power Company Limited,30,279.0,8370.0,2026-06-16T14:52:00.477004,2026-06-16,2026-06-16T19:09:39.132567
2026061604007545,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,390,287.1,111969.0,2026-06-16T14:52:35.893993,2026-06-16,2026-06-16T19:09:33.470229
2026061604007546,RADHI,Radhi Bidyut Company Ltd,13,735.0,9555.0,2026-06-16T14:52:36.26607,2026-06-16,2026-06-16T19:09:33.470224
2026061604007547,RADHI,Radhi Bidyut Company Ltd,10,739.7,7397.0,2026-06-16T14:52:36.266475,2026-06-16,2026-06-16T19:09:33.470223
2026061604007548,AHPC,Arun Valley Hydropower Development Co. Ltd.,10,273.0,2730.0,2026-06-16T14:52:36.480138,2026-06-16,2026-06-16T19:09:33.470220
2026061604007549,AHPC,Arun Valley Hydropower Development Co. Ltd.,111,273.0,30303.0,2026-06-16T14:52:38.489286,2026-06-16,2026-06-16T19:09:33.470209
2026061604007550,SSHL,Shiva Shree Hydropower Ltd,50,209.7,10485.0,2026-06-16T14:52:39.712149,2026-06-16,2026-06-16T19:09:33.470201
